STATE/UT,Year,CRIME,Boys 7-12 Years,Girls 7-12 Years,Boys 12-16 Years,Girls 12-16 Years,Boys 16-18 Years,Girls 16-18 Years,Total for boys all Age Groups,Total for girls all Age Groups,Grand total
Andaman & Nicobar Islands,2001,Murder,0,0,2,0,0,0,2,0,2
Andaman & Nicobar Islands,2001,Attempt to Commit Murder,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2001,C H Not amounting to Murder,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2001,Rape,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2001,Custodial Rape,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2001,Other Rape,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2001,Kidnapping & Abduction,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2001,K & A of Women and Girls,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2001,K & A of others,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2001,Dacoity,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2001,Preparation & Assembly for Dacoity,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2001,Robbery,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2001,Burglary,0,0,2,0,2,0,4,0,4
Andaman & Nicobar Islands,2001,Theft,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2001,Auto Theft,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2001,Other Theft,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2001,Riots,0,0,1,0,1,0,2,0,2
Andaman & Nicobar Islands,2001,Criminal Breach of Trust,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2001,Cheating,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2001,Counterfeiting,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2001,Arson,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2001,Hurt/Grevious Hurt,0,0,0,0,2,0,2,0,2
Andaman & Nicobar Islands,2001,Dowry Deaths,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2001,Assault on Women wih intent to outrage h,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2001,Insult to Modesty of Women,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2001,Cruelty by Husband or Relatives,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2001,Importation of girls from Foreign Countr,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2001,Causing death by negligence,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2001,Other IPC Crimes,0,0,3,3,0,0,3,3,6
Andaman & Nicobar Islands,2001,Total IPC Crimes,0,0,8,3,5,0,13,3,16
Andaman & Nicobar Islands,2002,Murder,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2002,Attempt to Commit Murder,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2002,C H Not amounting to Murder,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2002,Rape,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2002,Custodial Rape,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2002,Other Rape,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2002,Kidnapping & Abduction,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2002,K & A of Women and Girls,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2002,K & A of others,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2002,Dacoity,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2002,Preparation & Assembly for Dacoity,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2002,Robbery,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2002,Burglary,0,0,2,0,0,0,2,0,2
Andaman & Nicobar Islands,2002,Theft,0,0,0,0,1,0,1,0,1
Andaman & Nicobar Islands,2002,Auto Theft,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2002,Other Theft,0,0,0,0,1,0,1,0,1
Andaman & Nicobar Islands,2002,Riots,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2002,Criminal Breach of Trust,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2002,Cheating,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2002,Counterfeiting,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2002,Arson,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2002,Hurt/Grevious Hurt,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2002,Dowry Deaths,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2002,Assault on Women wih intent to outrage h,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2002,Insult to Modesty of Women,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2002,Cruelty by Husband or Relatives,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2002,Importation of girls from Foreign Countr,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2002,Causing death by negligence,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2002,Other IPC Crimes,0,0,2,0,1,0,3,0,3
Andaman & Nicobar Islands,2002,Total IPC Crimes,0,0,4,0,2,0,6,0,6
Andaman & Nicobar Islands,2003,Murder,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2003,Attempt to Commit Murder,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2003,C H Not amounting to Murder,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2003,Rape,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2003,Custodial Rape,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2003,Other Rape,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2003,Kidnapping & Abduction,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2003,K & A of Women and Girls,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2003,K & A of others,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2003,Dacoity,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2003,Preparation & Assembly for Dacoity,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2003,Robbery,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2003,Burglary,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2003,Theft,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2003,Auto Theft,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2003,Other Theft,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2003,Riots,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2003,Criminal Breach of Trust,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2003,Cheating,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2003,Counterfeiting,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2003,Arson,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2003,Hurt/Grevious Hurt,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2003,Dowry Deaths,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2003,Assault on Women wih intent to outrage h,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2003,Insult to Modesty of Women,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2003,Cruelty by Husband or Relatives,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2003,Importation of girls from Foreign Countr,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2003,Causing death by negligence,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2003,Other IPC Crimes,0,0,0,0,3,6,3,6,9
Andaman & Nicobar Islands,2003,Total IPC Crimes,0,0,0,0,3,6,3,6,9
Andaman & Nicobar Islands,2004,Murder,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2004,Attempt to Commit Murder,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2004,C H Not amounting to Murder,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2004,Rape,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2004,Custodial Rape,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2004,Other Rape,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2004,Kidnapping & Abduction,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2004,K & A of Women and Girls,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2004,K & A of others,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2004,Dacoity,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2004,Preparation & Assembly for Dacoity,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2004,Robbery,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2004,Burglary,0,0,0,0,8,0,8,0,8
Andaman & Nicobar Islands,2004,Theft,0,0,0,0,1,0,1,0,1
Andaman & Nicobar Islands,2004,Auto Theft,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2004,Other Theft,0,0,0,0,1,0,1,0,1
Andaman & Nicobar Islands,2004,Riots,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2004,Criminal Breach of Trust,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2004,Cheating,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2004,Counterfeiting,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2004,Arson,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2004,Hurt/Grevious Hurt,0,0,0,1,2,0,2,1,3
Andaman & Nicobar Islands,2004,Dowry Deaths,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2004,Assault on Women wih intent to outrage h,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2004,Insult to Modesty of Women,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2004,Cruelty by Husband or Relatives,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2004,Importation of girls from Foreign Countr,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2004,Causing death by negligence,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2004,Other IPC Crimes,0,0,0,0,1,0,1,0,1
Andaman & Nicobar Islands,2004,Total IPC Crimes,0,0,0,1,12,0,12,1,13
Andaman & Nicobar Islands,2005,Murder,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2005,Attempt to Commit Murder,0,0,1,0,0,0,1,0,1
Andaman & Nicobar Islands,2005,C H Not amounting to Murder,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2005,Rape,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2005,Custodial Rape,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2005,Other Rape,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2005,Kidnapping & Abduction,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2005,K & A of Women and Girls,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2005,K & A of others,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2005,Dacoity,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2005,Preparation & Assembly for Dacoity,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2005,Robbery,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2005,Burglary,2,0,1,0,0,0,3,0,3
Andaman & Nicobar Islands,2005,Theft,0,0,3,0,1,0,4,0,4
Andaman & Nicobar Islands,2005,Auto Theft,0,0,2,0,1,0,3,0,3
Andaman & Nicobar Islands,2005,Other Theft,0,0,1,0,0,0,1,0,1
Andaman & Nicobar Islands,2005,Riots,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2005,Criminal Breach of Trust,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2005,Cheating,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2005,Counterfeiting,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2005,Arson,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2005,Hurt/Grevious Hurt,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2005,Dowry Deaths,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2005,Assault on Women wih intent to outrage h,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2005,Insult to Modesty of Women,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2005,Cruelty by Husband or Relatives,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2005,Importation of girls from Foreign Countr,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2005,Causing death by negligence,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2005,Other IPC Crimes,0,0,2,0,0,0,2,0,2
Andaman & Nicobar Islands,2005,Total IPC Crimes,2,0,7,0,1,0,10,0,10
Andaman & Nicobar Islands,2006,Murder,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2006,Attempt to Commit Murder,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2006,C H Not amounting to Murder,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2006,Rape,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2006,Custodial Rape,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2006,Other Rape,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2006,Kidnapping & Abduction,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2006,K & A of Women and Girls,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2006,K & A of others,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2006,Dacoity,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2006,Preparation & Assembly for Dacoity,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2006,Robbery,0,0,0,0,1,0,1,0,1
Andaman & Nicobar Islands,2006,Burglary,0,0,0,0,12,0,12,0,12
Andaman & Nicobar Islands,2006,Theft,0,0,0,0,7,0,7,0,7
Andaman & Nicobar Islands,2006,Auto Theft,0,0,0,0,1,0,1,0,1
Andaman & Nicobar Islands,2006,Other Theft,0,0,0,0,6,0,6,0,6
Andaman & Nicobar Islands,2006,Riots,0,0,0,0,1,0,1,0,1
Andaman & Nicobar Islands,2006,Criminal Breach of Trust,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2006,Cheating,0,0,0,0,2,0,2,0,2
Andaman & Nicobar Islands,2006,Counterfeiting,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2006,Arson,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2006,Hurt/Grevious Hurt,0,0,0,0,2,1,2,1,3
Andaman & Nicobar Islands,2006,Dowry Deaths,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2006,Assault on Women wih intent to outrage h,0,0,0,0,2,0,2,0,2
Andaman & Nicobar Islands,2006,Insult to Modesty of Women,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2006,Cruelty by Husband or Relatives,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2006,Importation of girls from Foreign Countr,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2006,Causing death by negligence,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2006,Other IPC Crimes,0,0,1,2,9,2,10,4,14
Andaman & Nicobar Islands,2006,Total IPC Crimes,0,0,1,2,36,3,37,5,42
Andaman & Nicobar Islands,2007,Murder,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2007,Attempt to Commit Murder,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2007,C H Not amounting to Murder,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2007,Rape,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2007,Custodial Rape,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2007,Other Rape,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2007,Kidnapping & Abduction,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2007,K & A of Women and Girls,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2007,K & A of others,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2007,Dacoity,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2007,Preparation & Assembly for Dacoity,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2007,Robbery,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2007,Burglary,0,0,4,0,6,0,10,0,10
Andaman & Nicobar Islands,2007,Theft,0,0,2,0,2,0,4,0,4
Andaman & Nicobar Islands,2007,Auto Theft,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2007,Other Theft,0,0,2,0,2,0,4,0,4
Andaman & Nicobar Islands,2007,Riots,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2007,Criminal Breach of Trust,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2007,Cheating,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2007,Counterfeiting,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2007,Arson,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2007,Hurt/Grevious Hurt,0,0,0,0,1,2,1,2,3
Andaman & Nicobar Islands,2007,Dowry Deaths,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2007,Assault on Women wih intent to outrage h,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2007,Insult to Modesty of Women,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2007,Cruelty by Husband or Relatives,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2007,Importation of girls from Foreign Countr,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2007,Causing death by negligence,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2007,Other IPC Crimes,0,0,0,0,5,7,5,7,12
Andaman & Nicobar Islands,2007,Total IPC Crimes,0,0,6,0,14,9,20,9,29
Andaman & Nicobar Islands,2008,Murder,0,0,4,0,2,0,6,0,6
Andaman & Nicobar Islands,2008,Attempt to Commit Murder,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2008,C H Not amounting to Murder,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2008,Rape,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2008,Custodial Rape,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2008,Other Rape,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2008,Kidnapping & Abduction,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2008,K & A of Women and Girls,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2008,K & A of others,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2008,Dacoity,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2008,Preparation & Assembly for Dacoity,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2008,Robbery,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2008,Burglary,0,0,5,0,9,0,14,0,14
Andaman & Nicobar Islands,2008,Theft,0,0,4,0,11,0,15,0,15
Andaman & Nicobar Islands,2008,Auto Theft,0,0,0,0,1,0,1,0,1
Andaman & Nicobar Islands,2008,Other Theft,0,0,4,0,10,0,14,0,14
Andaman & Nicobar Islands,2008,Riots,0,0,0,0,1,1,1,1,2
Andaman & Nicobar Islands,2008,Criminal Breach of Trust,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2008,Cheating,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2008,Counterfeiting,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2008,Arson,0,0,1,0,0,0,1,0,1
Andaman & Nicobar Islands,2008,Hurt/Grevious Hurt,0,0,0,0,2,0,2,0,2
Andaman & Nicobar Islands,2008,Dowry Deaths,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2008,Assault on Women wih intent to outrage h,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2008,Insult to Modesty of Women,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2008,Cruelty by Husband or Relatives,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2008,Importation of girls from Foreign Countr,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2008,Causing death by negligence,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2008,Other IPC Crimes,1,0,2,1,5,3,8,4,12
Andaman & Nicobar Islands,2008,Total IPC Crimes,1,0,16,1,30,4,47,5,52
Andaman & Nicobar Islands,2009,Murder,0,0,0,0,2,0,2,0,2
Andaman & Nicobar Islands,2009,Attempt to Commit Murder,0,0,0,0,2,0,2,0,2
Andaman & Nicobar Islands,2009,C H Not amounting to Murder,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2009,Rape,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2009,Custodial Rape,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2009,Other Rape,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2009,Kidnapping & Abduction,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2009,K & A of Women and Girls,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2009,K & A of others,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2009,Dacoity,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2009,Preparation & Assembly for Dacoity,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2009,Robbery,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2009,Burglary,0,0,5,0,6,0,11,0,11
Andaman & Nicobar Islands,2009,Theft,0,0,0,0,2,0,2,0,2
Andaman & Nicobar Islands,2009,Auto Theft,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2009,Other Theft,0,0,0,0,2,0,2,0,2
Andaman & Nicobar Islands,2009,Riots,0,0,3,0,2,0,5,0,5
Andaman & Nicobar Islands,2009,Criminal Breach of Trust,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2009,Cheating,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2009,Counterfeiting,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2009,Arson,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2009,Hurt/Grevious Hurt,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2009,Dowry Deaths,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2009,Assault on Women wih intent to outrage h,0,0,0,0,1,0,1,0,1
Andaman & Nicobar Islands,2009,Insult to Modesty of Women,0,0,0,0,1,0,1,0,1
Andaman & Nicobar Islands,2009,Cruelty by Husband or Relatives,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2009,Importation of girls from Foreign Countr,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2009,Causing death by negligence,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2009,Other IPC Crimes,0,0,3,2,4,4,7,6,13
Andaman & Nicobar Islands,2009,Total IPC Crimes,0,0,11,2,20,4,31,6,37
Andaman & Nicobar Islands,2010,Murder,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2010,Attempt to Commit Murder,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2010,C H Not amounting to Murder,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2010,Rape,0,0,1,0,2,0,3,0,3
Andaman & Nicobar Islands,2010,Custodial Rape,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2010,Other Rape,0,0,1,0,2,0,3,0,3
Andaman & Nicobar Islands,2010,Kidnapping & Abduction,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2010,K & A of Women and Girls,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2010,K & A of others,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2010,Dacoity,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2010,Preparation & Assembly for Dacoity,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2010,Robbery,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2010,Burglary,1,0,3,0,4,0,8,0,8
Andaman & Nicobar Islands,2010,Theft,0,0,2,0,0,0,2,0,2
Andaman & Nicobar Islands,2010,Auto Theft,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2010,Other Theft,0,0,2,0,0,0,2,0,2
Andaman & Nicobar Islands,2010,Riots,0,0,0,0,1,0,1,0,1
Andaman & Nicobar Islands,2010,Criminal Breach of Trust,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2010,Cheating,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2010,Counterfeiting,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2010,Arson,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2010,Hurt/Grevious Hurt,0,0,0,0,2,0,2,0,2
Andaman & Nicobar Islands,2010,Dowry Deaths,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2010,Assault on Women wih intent to outrage h,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2010,Insult to Modesty of Women,0,0,0,0,1,0,1,0,1
Andaman & Nicobar Islands,2010,Cruelty by Husband or Relatives,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2010,Importation of girls from Foreign Countr,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2010,Causing death by negligence,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2010,Other IPC Crimes,1,0,1,2,2,2,4,4,8
Andaman & Nicobar Islands,2010,Total IPC Crimes,2,0,7,2,12,2,21,4,25
Andaman & Nicobar Islands,2011,Murder,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2011,Attempt to Commit Murder,0,0,0,0,1,0,1,0,1
Andaman & Nicobar Islands,2011,C H Not amounting to Murder,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2011,Rape,0,0,0,0,1,0,1,0,1
Andaman & Nicobar Islands,2011,Custodial Rape,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2011,Other Rape,0,0,0,0,1,0,1,0,1
Andaman & Nicobar Islands,2011,Kidnapping & Abduction,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2011,K & A of Women and Girls,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2011,K & A of others,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2011,Dacoity,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2011,Preparation & Assembly for Dacoity,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2011,Robbery,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2011,Burglary,0,0,1,0,0,0,1,0,1
Andaman & Nicobar Islands,2011,Theft,0,0,2,0,0,0,2,0,2
Andaman & Nicobar Islands,2011,Auto Theft,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2011,Other Theft,0,0,2,0,0,0,2,0,2
